name,position,club_name,minutes_90s,goals_against,pens_allowed,own_goals_against,psnpxg_per_shot_on_target_against,psxg_net,psxg,clean_sheets
Alisson,GK,Liverpool,21.0,19,1,1,0.25,0.9,18.9,7
Caoimhín Kelleher,GK,Liverpool,5.0,6,0,0,0.29,-0.5,5.5,1
Ederson,GK,Manchester City,24.1,23,2,1,0.3,0.3,22.3,8
Stefan Ortega,GK,Manchester City,1.9,3,0,0,0.37,0.0,3.0,0
David Raya,GK,Arsenal,21.0,19,1,1,0.28,-2.5,15.5,8
Aaron Ramsdale,GK,Arsenal,5.0,4,0,0,0.23,-1.7,2.3,2
Emiliano Martínez,GK,Aston Villa,25.0,34,0,3,0.36,4.9,35.9,6
Robin Olsen,GK,Aston Villa,1.0,1,0,0,0.23,-0.5,0.5,0
Guglielmo Vicario,GK,Tottenham Hotspur,25.0,38,6,2,0.33,6.3,42.3,5
André Onana,GK,Manchester United,26.0,36,3,1,0.28,2.0,37.0,7
Jason Steele,GK,Brighton & Hove Albion,14.0,25,3,2,0.31,-2.4,20.6,2
Bart Verbruggen,GK,Brighton & Hove Albion,12.0,16,2,0,0.25,-2.4,13.6,1
Alphonse Areola,GK,West Ham United,22.5,37,4,1,0.25,0.9,36.9,4
Łukasz Fabiański,GK,West Ham United,3.5,9,1,0,0.3,-2.1,6.9,1
José Sá,GK,Wolverhampton Wanderers,23.2,37,5,1,0.33,4.6,40.6,4
Daniel Bentley,GK,Wolverhampton Wanderers,2.8,3,0,0,0.25,-0.5,2.5,1
Nick Pope,GK,Newcastle United,13.9,14,0,0,0.3,1.1,15.1,5
Martin Dúbravka,GK,Newcastle United,11.1,27,3,0,0.33,2.8,29.8,2
Loris Karius,GK,Newcastle United,1.0,4,0,1,0.27,-1.1,1.9,0
Robert Sánchez,GK,Chelsea,15.9,25,2,0,0.28,-0.8,24.2,3
Đorđe Petrović,GK,Chelsea,9.1,16,1,1,0.24,-2.3,12.7,2
Bernd Leno,GK,Fulham,26.0,42,6,3,0.27,1.3,40.3,6
Sam Johnstone,GK,Crystal Palace,18.0,23,2,1,0.26,-5.0,17.0,6
Dean Henderson,GK,Crystal Palace,8.0,20,1,0,0.37,-2.7,17.3,0
Remi Matthews,GK,Crystal Palace,0.0,1,0,0,0.15,-0.9,0.1,0
Neto,GK,Bournemouth,23.0,40,4,1,0.31,1.4,40.4,5
Ionuț Radu,GK,Bournemouth,2.0,7,0,0,0.27,-4.1,2.9,0
Jordan Pickford,GK,Everton,26.0,34,5,2,0.25,-0.2,31.8,8
Mark Flekken,GK,Brentford,24.5,46,1,0,0.31,-6.7,39.3,4
Thomas Strakosha,GK,Brentford,1.5,2,0,0,0.2,-0.5,1.5,0
Matt Turner,GK,Nottingham Forest,17.0,28,2,0,0.26,-5.9,22.1,2
Odisseas Vlachodimos,GK,Nottingham Forest,5.0,12,1,0,0.31,-4.1,7.9,1
Matz Sels,GK,Nottingham Forest,4.0,8,0,0,0.33,-3.1,4.9,1
Thomas Kaminski,GK,Luton Town,25.0,51,2,1,0.36,2.1,52.1,2
James Trafford,GK,Burnley,26.0,58,5,2,0.3,-3.3,52.7,2
Wes Foderingham,GK,Sheffield United,24.4,63,3,4,0.34,-1.5,57.5,1
Ivo Grbić,GK,Sheffield United,1.6,3,0,0,0.51,-1.0,2.0,0
