name,position,club_name,minutes_90s,goals_against,pens_allowed,own_goals_against,psnpxg_per_shot_on_target_against,psxg_net,psxg,clean_sheets
Alisson,GK,Liverpool,19.0,15,1,1,0.25,3.0,17.0,7
Caoimhín Kelleher,GK,Liverpool,2.0,3,0,0,0.37,-0.8,2.2,1
Ederson,GK,Manchester City,18.1,20,2,1,0.3,-2.3,16.7,5
Stefan Ortega,GK,Manchester City,1.9,3,0,0,0.37,0.0,3.0,0
David Raya,GK,Arsenal,16.0,16,1,0,0.28,-2.4,13.6,6
Aaron Ramsdale,GK,Arsenal,5.0,4,0,0,0.23,-1.7,2.3,2
Emiliano Martínez,GK,Aston Villa,20.0,26,0,2,0.34,3.0,27.0,5
Robin Olsen,GK,Aston Villa,1.0,1,0,0,0.23,-0.5,0.5,0
Guglielmo Vicario,GK,Tottenham Hotspur,21.0,31,5,2,0.32,5.5,34.5,5
Alphonse Areola,GK,West Ham United,18.0,25,3,1,0.27,5.2,29.2,4
Łukasz Fabiański,GK,West Ham United,3.0,7,1,0,0.3,-0.7,6.3,1
Jason Steele,GK,Brighton & Hove Albion,12.0,19,3,2,0.27,-2.6,14.4,2
Bart Verbruggen,GK,Brighton & Hove Albion,9.0,14,2,0,0.26,-1.9,12.1,0
André Onana,GK,Manchester United,21.0,29,2,1,0.29,2.0,30.0,6
Robert Sánchez,GK,Chelsea,15.9,25,2,0,0.28,-0.8,24.2,3
Đorđe Petrović,GK,Chelsea,5.1,6,0,0,0.3,0.4,6.4,2
Nick Pope,GK,Newcastle United,13.9,14,0,0,0.3,1.1,15.1,5
Martin Dúbravka,GK,Newcastle United,7.1,18,2,0,0.33,3.4,21.4,2
José Sá,GK,Wolverhampton Wanderers,18.2,28,5,1,0.32,4.3,31.3,3
Daniel Bentley,GK,Wolverhampton Wanderers,2.8,3,0,0,0.25,-0.5,2.5,1
Neto,GK,Bournemouth,18.0,32,2,1,0.3,-0.9,30.1,5
Ionuț Radu,GK,Bournemouth,2.0,7,0,0,0.27,-4.1,2.9,0
Bernd Leno,GK,Fulham,21.0,36,6,3,0.26,1.0,34.0,5
Mark Flekken,GK,Brentford,18.5,31,1,0,0.28,-8.8,22.2,3
Thomas Strakosha,GK,Brentford,1.5,2,0,0,0.2,-0.5,1.5,0
Sam Johnstone,GK,Crystal Palace,16.0,22,2,1,0.27,-4.5,16.5,5
Dean Henderson,GK,Crystal Palace,5.0,11,1,0,0.38,0.9,11.9,0
Remi Matthews,GK,Crystal Palace,0.0,1,0,0,0.15,-0.9,0.1,0
Matt Turner,GK,Nottingham Forest,16.0,26,2,0,0.25,-5.0,21.0,2
Odisseas Vlachodimos,GK,Nottingham Forest,5.0,12,1,0,0.31,-4.1,7.9,1
Jordan Pickford,GK,Everton,21.0,28,5,2,0.26,0.3,26.3,7
Thomas Kaminski,GK,Luton Town,20.0,38,1,1,0.37,4.6,41.6,1
James Trafford,GK,Burnley,21.0,42,3,2,0.32,2.0,42.0,2
Wes Foderingham,GK,Sheffield United,21.0,51,2,3,0.34,1.1,49.1,1
